"Vertical Axis: % of users","Horizontal Axis: User Wait Time              (time values are fractions of a day)"
"1","0","<100ms"
"2","0","<200ms"
"3","0","<500ms"
"4","0","<1s"
"5","0","<2s"
"6","0","<5s"
"7","0","<10s"
"8","0","<20s"
"9","0","<50s"
"10","0","<100s"
"1","0",""
"2","50",""
"3","50",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","60",""
"3","40",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","84.6153846153846",""
"3","15.3846153846154",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","72.2222222222222",""
"3","27.7777777777778",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","76.1904761904762",""
"3","23.8095238095238",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","66.6666666666667",""
"3","33.3333333333333",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","30",""
"3","70",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","29.4117647058824",""
"3","70.5882352941177",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","7.89473684210526",""
"3","92.1052631578947",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.69565217391304",""
"3","91.304347826087",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","4.25531914893617",""
"3","95.7446808510638",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","7.84313725490196",""
"3","92.156862745098",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","10.7142857142857",""
"3","89.2857142857143",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","6.55737704918033",""
"3","93.4426229508197",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","12.1212121212121",""
"3","87.8787878787879",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.95522388059701",""
"3","91.044776119403",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.57142857142857",""
"3","91.4285714285714",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","7.59493670886076",""
"3","92.4050632911392",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","2.5",""
"3","97.5",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","1.26582278481013",""
"3","98.7341772151899",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","3.33333333333333",""
"3","96.6666666666667",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","5.49450549450549",""
"3","94.5054945054945",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","3.15789473684211",""
"3","96.8421052631579",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0.970873786407767",""
"3","99.0291262135922",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","1.92307692307692",""
"3","98.0769230769231",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0.833333333333333",""
"3","94.1666666666667",""
"4","5",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","95.5357142857143",""
"4","4.46428571428571",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","86.3157894736842",""
"4","13.6842105263158",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","99.1735537190083",""
"4","0.826446280991736",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","91.6666666666667",""
"4","8.33333333333333",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0.934579439252336",""
"3","80.3738317757009",""
"4","18.6915887850467",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","94.8717948717949",""
"4","5.12820512820513",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","95.3271028037383",""
"4","4.67289719626168",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","77.6785714285714",""
"4","22.3214285714286",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","83.6206896551724",""
"4","16.3793103448276",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","78.9915966386555",""
"4","21.0084033613445",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","81.1965811965812",""
"4","18.8034188034188",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","77.8688524590164",""
"4","22.1311475409836",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","61.9047619047619",""
"4","38.0952380952381",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","63.2075471698113",""
"4","36.7924528301887",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","59.2233009708738",""
"4","40.7766990291262",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","62.8318584070796",""
"4","37.1681415929204",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","58.252427184466",""
"4","41.747572815534",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","58.7628865979381",""
"4","41.2371134020619",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","48.9130434782609",""
"4","51.0869565217391",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","45.9183673469388",""
"4","54.0816326530612",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","45.6310679611651",""
"4","54.3689320388349",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","40",""
"4","60",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","51.6129032258064",""
"4","48.3870967741936",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","53.6842105263158",""
"4","46.3157894736842",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","46.6666666666667",""
"4","52",""
"5","1.33333333333333",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","30.6818181818182",""
"4","69.3181818181818",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","36.7816091954023",""
"4","63.2183908045977",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","31.8181818181818",""
"4","68.1818181818182",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","32.0987654320988",""
"4","67.9012345679012",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","14.9425287356322",""
"4","85.0574712643678",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","22.8915662650602",""
"4","77.1084337349398",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","23.5294117647059",""
"4","75.2941176470588",""
"5","1.17647058823529",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","6.41025641025641",""
"4","91.025641025641",""
"5","2.56410256410256",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","10.2564102564103",""
"4","80.7692307692308",""
"5","8.97435897435897",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","10.8108108108108",""
"4","78.3783783783784",""
"5","10.8108108108108",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","28.5714285714286",""
"4","71.4285714285714",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","27.8481012658228",""
"4","70.8860759493671",""
"5","1.26582278481013",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","26.3888888888889",""
"4","55.5555555555556",""
"5","18.0555555555556",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","1.85185185185185",""
"3","37.037037037037",""
"4","29.6296296296296",""
"5","31.4814814814815",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","37.1794871794872",""
"4","51.2820512820513",""
"5","11.5384615384615",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","1.38888888888889",""
"4","93.0555555555556",""
"5","5.55555555555556",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","26.7605633802817",""
"4","39.4366197183099",""
"5","33.8028169014084",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","31.1475409836066",""
"4","32.7868852459016",""
"5","36.0655737704918",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","10.7692307692308",""
"4","49.2307692307692",""
"5","40",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","14.0350877192982",""
"4","21.0526315789474",""
"5","64.9122807017544",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","37.5",""
"4","18.75",""
"5","43.75",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","8.47457627118644",""
"4","44.0677966101695",""
"5","47.4576271186441",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","51.6666666666667",""
"5","48.3333333333333",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","12.962962962963",""
"4","20.3703703703704",""
"5","66.6666666666667",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","5.88235294117647",""
"4","33.3333333333333",""
"5","60.7843137254902",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","41.8181818181818",""
"5","58.1818181818182",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","45.8333333333333",""
"5","54.1666666666667",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","5.35714285714286",""
"4","26.7857142857143",""
"5","67.8571428571429",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","15.5555555555556",""
"4","17.7777777777778",""
"5","66.6666666666667",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","14.5833333333333",""
"5","85.4166666666667",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","2.12765957446809",""
"4","19.1489361702128",""
"5","72.3404255319149",""
"6","6.38297872340426",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","17.7777777777778",""
"4","15.5555555555556",""
"5","60",""
"6","6.66666666666667",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","2",""
"4","20",""
"5","78",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","5.12820512820513",""
"4","17.9487179487179",""
"5","76.9230769230769",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","8.16326530612245",""
"5","91.8367346938775",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","2.56410256410256",""
"4","15.3846153846154",""
"5","82.0512820512821",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","4.76190476190476",""
"5","95.2380952380952",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","12.8205128205128",""
"4","5.12820512820513",""
"5","82.0512820512821",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","2.27272727272727",""
"4","13.6363636363636",""
"5","84.0909090909091",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","8.69565217391304",""
"4","15.2173913043478",""
"5","76.0869565217391",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
